Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910826,100,GET,/get,1255.500000,0.000000,34,36,38,38,41,44,50,52,60,64,64,55084,0,33,31.45482686563975,5.704978997528087,177.60040100256447,54.37622540120543
1753910826,100,POST,/put,13.000000,0.000000,56,57,59,59,61,64,69,74,76,76,76,514,0,54,51.72113247279391,21.71207599894842,134.31985100032762,0.0
1753910826,100,,Aggregated,1268.500000,0.000000,34,36,38,38,41,46,52,54,63,74,76,55598,0,33,31.6421875815302,5.704978997528087,177.60040100256447,53.873520630238495
1753910827,100,GET,/get,1383.300000,0.000000,35,37,38,39,41,46,50,53,60,64,64,60842,0,33,31.84667259034635,5.704978997528087,177.60040100256447,54.59238683803951
1753910827,100,POST,/put,14.700000,0.000000,56,57,59,60,62,65,70,74,76,76,76,568,0,54,52.07234009333366,21.71207599894842,134.31985100032762,0.0
1753910827,100,,Aggregated,1398.000000,0.000000,35,37,38,39,42,47,52,54,63,74,76,61410,0,33,32.033746017177435,5.704978997528087,177.60040100256447,54.087445041524184
1753910828,100,GET,/get,1383.300000,0.000000,35,37,38,39,41,46,50,53,60,64,64,60842,0,33,31.84667259034635,5.704978997528087,177.60040100256447,54.59238683803951
1753910828,100,POST,/put,14.700000,0.000000,56,57,59,60,62,65,70,74,76,76,76,568,0,54,52.07234009333366,21.71207599894842,134.31985100032762,0.0
1753910828,100,,Aggregated,1398.000000,0.000000,35,37,38,39,42,47,52,54,63,74,76,61410,0,33,32.033746017177435,5.704978997528087,177.60040100256447,54.087445041524184
1753910829,100,GET,/get,1383.300000,0.000000,35,37,38,39,42,46,50,52,61,64,64,60842,0,33,31.84667259034635,5.704978997528087,177.60040100256447,54.59238683803951
1753910829,100,POST,/put,14.700000,0.000000,56,58,59,61,63,64,69,70,71,71,71,568,0,54,52.07234009333366,21.71207599894842,134.31985100032762,0.0
1753910829,100,,Aggregated,1398.000000,0.000000,35,37,38,39,42,47,52,54,64,70,71,61410,0,33,32.033746017177435,5.704978997528087,177.60040100256447,54.087445041524184
1753910830,100,GET,/get,1926.200000,0.000000,34,36,38,39,41,45,50,52,60,64,66,66763,0,33,32.0312757080242,5.704978997528087,177.60040100256447,54.78973383460899
1753910830,100,POST,/put,19.300000,0.000000,55,57,59,60,62,64,70,73,74,74,74,629,0,54,52.4151801335809,21.71207599894842,134.31985100032762,0.0
1753910830,100,,Aggregated,1945.500000,0.000000,34,37,38,39,41,47,51,54,63,73,74,67392,0,33,32.221527902404475,5.704978997528087,177.60040100256447,54.27835648148148
1753910831,100,GET,/get,1926.200000,0.000000,34,36,38,39,41,45,50,52,60,64,66,66763,0,33,32.0312757080242,5.704978997528087,177.60040100256447,54.78973383460899
1753910831,100,POST,/put,19.300000,0.000000,55,57,59,60,62,64,70,73,74,74,74,629,0,54,52.4151801335809,21.71207599894842,134.31985100032762,0.0
1753910831,100,,Aggregated,1945.500000,0.000000,34,37,38,39,41,47,51,54,63,73,74,67392,0,33,32.221527902404475,5.704978997528087,177.60040100256447,54.27835648148148
